"","feature","n","model1","model2","model3","model4","model5","model6"
"1","lexdiv","10",-288796.446283838,-292887.608679251,-290700.765417939,-294836.362176366,-294867.547699749,-294822.013406407
"2","sentcomp","10",-170377.6131511,-170345.795114377,-170390.521713639,-170358.62794953,-170339.24948724,-170166.113863863
"3","sim","10",-148677.299419274,-152821.226483977,-148822.442601455,-152963.144792001,-153059.309502294,-153135.400346906
"4","smog","10",-321775.226780514,-323927.575544631,-322600.25017093,-324763.971675902,-324758.723352098,-324646.919854017
"5","lexdiv","N",-507087.865161558,-538298.186621424,-507043.644879994,-538269.425909112,-538260.537459201,-538039.117869113
"6","sentcomp","N",-575856.066991844,-577116.386930488,-575925.438055506,-577187.52168966,-577198.69829166,-577299.342637853
"7","sim","N",-442190.727817757,-508419.542750224,-442621.319455788,-509120.022017969,-509382.794836195,-511008.907820712
"8","smog","N",-558329.159030325,-581645.110334625,-558244.703075905,-581565.97559901,-581547.416334156,-581315.20702616
