"","Estimate","Std. Error","z value","Pr(>|z|)","feature","variable","n"
"337",-0.00118112614929059,0.00407634415543278,-0.289751332138243,0.772006482620592,"policy_rev.chron:pinned","smog","N"
"338",0.0289879427365819,0.00499383101176543,5.80475043474369,6.44619452775034e-09,"policy_chron:replies_rh","smog","N"
"339",-0.0285465725347278,0.00498573844003635,-5.72564583522749,1.03040985101731e-08,"policy_chron:replies_rt","smog","N"
"340",-0.00302792614373168,0.00407529158717944,-0.74299619523111,0.45748398395682,"policy_chron:pinned","smog","N"
"341",-0.279466427419293,0.00501606539636862,-55.7142711140913,0,"policy_pin.pred.lr:replies_rh","smog","N"
"342",-0.215940875594276,0.00500655052560362,-43.1316680996126,0,"policy_pin.pred.lr:replies_rt","smog","N"
"343",-0.0146133070574547,0.00408878291086359,-3.57399925015051,0.000351569935258355,"policy_pin.pred.lr:pinned","smog","N"
"344",-0.444074397032358,0.00504099050637681,-88.09268663978,0,"policy_pin.pred.xgb:replies_rh","smog","N"
"345",-0.349894983072485,0.00503276189568367,-69.523452594205,0,"policy_pin.pred.xgb:replies_rt","smog","N"
"346",-0.0147416310959653,0.0041029561951291,-3.59292919419078,0.000326981460911398,"policy_pin.pred.xgb:pinned","smog","N"
"347",-0.320147523433181,0.00502868208739915,-63.6642996850815,0,"policy_pred.nb:replies_rh","smog","N"
"348",-0.248629622480658,0.00501855913300849,-49.5420330599176,0,"policy_pred.nb:replies_rt","smog","N"
"349",-0.0153412098238814,0.00409684263278923,-3.74464220350996,0.000180651035373698,"policy_pred.nb:pinned","smog","N"
"350",-0.321243645231938,0.00502311305034521,-63.9530988078919,0,"policy_pred.xgb:replies_rh","smog","N"
"351",-0.295350096933185,0.00501173810011467,-58.9316702176492,0,"policy_pred.xgb:replies_rt","smog","N"
"352",-0.0130962035926306,0.00409195068907318,-3.20047932825819,0.00137199210615754,"policy_pred.xgb:pinned","smog","N"
