"","feature","n","model1","model2","model3","model4","model5","model6"
"1","lexdiv","10",-288947.326395616,-293239.6622734,-290952.232270902,-295289.0025117,-295340.30538332,-295495.944572349
"2","sentcomp","10",-170528.493262878,-170697.848708526,-170641.988566602,-170811.268284864,-170812.007170811,-170840.045029805
"3","sim","10",-148828.179531052,-153173.280078125,-149073.909454418,-153415.785127334,-153532.067185865,-153809.331512848
"4","smog","10",-321926.106892292,-324279.629138779,-322851.717023893,-325216.612011236,-325231.481035669,-325320.851019958
"5","lexdiv","N",-507238.745273335,-538650.240215572,-507295.111732958,-538722.066244446,-538733.295142771,-538713.049035054
"6","sentcomp","N",-576006.947103622,-577468.440524637,-576176.904908469,-577640.162024994,-577671.455975231,-577973.273803795
"7","sim","N",-442341.607929535,-508771.596344372,-442872.786308751,-509572.662353303,-509855.552519766,-511682.838986653
"8","smog","N",-558480.039142103,-581997.163928773,-558496.169928868,-582018.615934343,-582020.174017727,-581989.138192101
