"","term","coef_model1","coef_model2","coef_diff","se_diff","z_value","p_value","ci_lower_95","ci_upper_95","ci_lower_99","ci_upper_99"
"1","(Intercept)",1.10362352451326,-0.397770801200572,1.50139432571383,0.00711965509818274,210.880204870747,0,1.48743980172139,1.51534884970627,1.48305409418091,1.51973455724675
"2","sentiment_prob_pos",-0.0277086851349434,-0.0698416439683217,0.0421329588333783,0.00268302340766726,15.7035375513219,0,0.0368742329543505,0.0473916847124061,0.0352214905352275,0.0490444271315292
"3","sentiment_prob_neg",-0.00956104360371859,0.0328762991323543,-0.0424373427360729,0.00263931134226744,-16.0789453129144,0,-0.047610392966917,-0.0372642925052287,-0.0492362087537538,-0.0356384767183919
"4","lexdiv_cttr",0.13397739245758,0.185250497649882,-0.0512731051923024,0.00602430095421591,-8.5110464404041,0,-0.0630807350625656,-0.0394654753220392,-0.0667917044503626,-0.0357545059342422
"5","num_punct",-0.044138247618056,-0.115110284844878,0.0709720372268216,0.00420137785517633,16.8925623148559,0,0.062737336630676,0.0792067378229672,0.0601492878718874,0.0817947865817558
"6","num_sentences",0.0226708728804698,0.0712556707915569,-0.048584797911087,0.00429983636295533,-11.2992202051369,0,-0.0570124771824795,-0.0401571186396946,-0.0596611763820599,-0.0375084194401141
"7","SMOG_readability",0.0492598684956311,0.070055115811459,-0.0207952473158278,0.00411423060131473,-5.05446809646075,4.31591893113037e-07,-0.0288591392944047,-0.012731355337251,-0.0313935053448146,-0.0101969892868411
"8","second_personTRUE",0.0732421052912614,0.277397609662775,-0.204155504371514,0.00842834145795661,-24.2225004041317,0,-0.220675053629109,-0.187635955113919,-0.22586691196721,-0.182444096775818
"9","user_follower",0.0781739928858714,-0.0831318557552798,0.161305848641151,0.00255237758975305,63.1982702280183,0,0.156303188565235,0.166308508717067,0.154730923969947,0.167880773312355
"10","is_root_commentTRUE",-0.0108483505490246,0.35719004608763,-0.368038396636654,0.00977833083553866,-37.6381616481051,0,-0.38720392507431,-0.348872868198999,-0.393227376869002,-0.342849416404307
