"","term","coef_model1","coef_model2","coef_diff","se_diff","z_value","p_value","ci_lower_95","ci_upper_95","ci_lower_99","ci_upper_99"
"11","level_in_tree",-0.697921798008708,-0.456269768819173,-0.241652029189534,0.00496282894514796,-48.6923953778,0,-0.251379173922024,-0.231924884457044,-0.254436276552235,-0.228867781826833
"12","cosine_1",-0.000857430588342551,-0.0438630529370889,0.0430056223487463,0.00278289807198121,15.4535384467494,0,0.0375511421276632,0.0484601025698295,0.0358368769153227,0.0501743677821699
"13","hours_since_article",-0.201853089404016,-0.253336435275074,0.0514833458710583,0.0030507775030549,16.8754836494977,0,0.0455038219650707,0.0574628697770459,0.0436245430231889,0.0593421487189277
"14","votes_pos_mean",0.350155719828785,-0.0250128183860212,0.375168538214806,0.00296951747606949,126.339899070534,0,0.36934828396171,0.380988792467902,0.367519061196451,0.382818015233161
"15","votes_neg_mean",0.0832846237195712,0.760061152644514,-0.676776528924943,0.00320996684022157,-210.835987601114,0,-0.683068063931778,-0.670484993918109,-0.685045403505354,-0.668507654344533
"16","article_comments",0.0167484633916226,-0.0132531601808347,0.0300016235724573,0.002927759142354,10.2472990822377,0,0.0242632156534434,0.0357400314914711,0.0224597160217533,0.0375435311231612
"17","factor(genre1)/diestandard",0.214141237469844,0.251558789717465,-0.0374175522476207,0.0221386741600778,-1.69014422350075,0.0910003660894914,-0.0808093536013732,0.00597424910613174,-0.0944467768839811,0.0196116723887397
"18","factor(genre1)/diskurs",0.273135214786623,0.0715592257706476,0.201575989015975,0.00975191979375301,20.6703903722734,0,0.182462226220219,0.220689751811731,0.176455043627267,0.226696934404683
"19","factor(genre1)/etat",-0.0254838766999753,-0.104255289491857,0.0787714127918814,0.0133875482978592,5.88393117539509,4.00634481145801e-09,0.0525318181280773,0.105011007455685,0.044285088376596,0.113257737207167
"20","factor(genre1)/international",0.0800275062098775,0.0368006591971182,0.0432268470127593,0.00906397141440673,4.7690846579737,1.85064881441654e-06,0.0254614630405222,0.0609922309849965,0.0198780566492476,0.0665756373762711
"21","factor(genre1)/kultur",0.114961238480284,-0.0555428660848022,0.170504104565087,0.0154097156080462,11.0647145542425,0,0.140301061973316,0.200707147156857,0.130808677158759,0.210199531971414
"22","factor(genre1)/lifestyle",0.258865576169353,0.148540644066182,0.11032493210317,0.0132702821807497,8.31368395942711,0,0.0843151790289008,0.13633468517744,0.076140685205559,0.144509179000782
"23","factor(genre1)/panorama",0.180500886309469,0.104014171773743,0.0764867145357257,0.00966300474274122,7.91541726119734,2.44249065417534e-15,0.0575472252399529,0.0954262038314985,0.0515948143184243,0.101378614753027
"24","factor(genre1)/podcast",0.0685951745718601,-0.0639254459997037,0.132520620571564,0.0384111571990736,3.45005540668168,0.000560471509185811,0.0572347524613795,0.207806488681748,0.0335734796267502,0.231467761516377
"25","factor(genre1)/recht",0.22261665268499,0.200537350544309,0.0220793021406809,0.032265345229278,0.68430391752467,0.493783273729491,-0.041160774508704,0.0853193787900657,-0.0610362271699393,0.105194831451301
"26","factor(genre1)/sport",0.163648598472508,0.116226927402252,0.0474216710702558,0.012188368038966,3.89073179597543,9.99423531624632e-05,0.0235324697138824,0.0713108724266292,0.0160244350018793,0.0788189071386323
"27","factor(genre1)/video",0.199858846075918,0.117029684277026,0.0828291617988922,0.0220105358533049,3.76315971364483,0.000167779973337057,0.0396885115264145,0.12596981207137,0.0261300214407787,0.139528302157006
"28","factor(genre1)/web",0.116465255832953,0.0687367692793342,0.0477284865536187,0.012280734648158,3.88645206667481,0.000101720000659222,0.0236582466432289,0.0717987264640084,0.0160933140999636,0.0793636590072738
"29","factor(genre1)/wirtschaft",0.0341815464695766,0.0414940886627943,-0.0073125421932177,0.00946717882789635,-0.772409851567427,0.439871720855247,-0.0258682126958945,0.0112431283094591,-0.0316999948538787,0.0170749104674433
"30","factor(genre1)/wissenschaft",0.161837599179795,0.0491402257719223,0.112697373407873,0.0171809407091048,6.55944137844272,5.40096856127548e-11,0.0790227296180275,0.146372017197718,0.068439270141219,0.156955476674527
"31","pinned_fTRUE",2.33888544252536,1.73054113676265,0.60834430576271,0.0315770179158701,19.2654134530217,0,0.546453350647605,0.670235260877815,0.527001907611429,0.689686703913991
