"","name","pf1","pf2","pf3","pf4"
"1","(Intercept)",-0.405017847212875,-0.397770801200572,0.113789966827618,0.113446932930922
"2","sentiment_prob_pos",-0.0649289202376871,-0.0698416439683217,-0.0405775173862639,-0.0406510126675553
"3","sentiment_prob_neg",0.0325036030330682,0.0328762991323543,0.041377299320902,0.0413481181087082
"4","lexdiv_cttr",0.191269296134141,0.185250497649882,0.0968737557191811,0.0975403315646654
"5","num_punct",-0.115439752418911,-0.115110284844878,-0.115407188306203,-0.115639298223469
"6","num_sentences",0.0791014770856284,0.0712556707915569,0.0386354199005789,0.0387424129954207
"7","SMOG_readability",0.0757367929953983,0.070055115811459,0.0392630603674892,0.039421598165331
"8","second_personTRUE",0.287071931622637,0.277397609662775,0.230633660971974,0.230623015854757
"9","user_follower",-0.0806903766923092,-0.0831318557552798,-0.0710412554162432,-0.0706732664357674
"10","is_root_commentTRUE",0.4325932663694,0.35719004608763,0.0936556159430597,0.094902226480632
"11","level_in_tree",-0.450742323045755,-0.456269768819173,-0.658681600755477,-0.66227733070186
"12","cosine_1",-0.0458815535383036,-0.0438630529370889,-0.0274141157941483,-0.0274350183579045
"13","hours_since_article",-0.277873069953911,-0.253336435275074,-0.182797814513945,-0.183642383211118
"14","votes_pos_mean",-0.0191324061526996,-0.0250128183860212,-0.0212497111325629,-0.0208040635424586
"15","votes_neg_mean",0.761506486187765,0.760061152644514,0.696695298228405,0.697784672067822
"16","article_comments",-0.00180163001184627,-0.0132531601808347,-0.0769884420426534,-0.076927777878939
"17","factor(genre1)/diestandard",0.276313279516573,0.251558789717465,0.150412804653569,0.150987207435207
"18","factor(genre1)/diskurs",0.07587754714375,0.0715592257706476,0.0357853616175226,0.0359795320902246
"19","factor(genre1)/etat",-0.0890622194059693,-0.104255289491857,-0.0663094484197004,-0.0662399181889517
"20","factor(genre1)/international",0.0229883453405027,0.0368006591971182,-0.0704660288746096,-0.0707986980394471
"21","factor(genre1)/kultur",-0.0460613540394889,-0.0555428660848022,-0.0361859152107278,-0.0360410739521256
"22","factor(genre1)/lifestyle",0.153648001838081,0.148540644066182,0.018222163202912,0.0192941435362865
"23","factor(genre1)/panorama",0.109553612396943,0.104014171773743,-0.00772702011245496,-0.00734107231881499
"24","factor(genre1)/podcast",-0.0580993110513697,-0.0639254459997037,-0.0606294667940225,-0.0600111348247531
"25","factor(genre1)/recht",0.20525551819465,0.200537350544309,0.0765445217551731,0.0771123003298023
"26","factor(genre1)/sport",0.114045613331858,0.116226927402252,0.00982011925664542,0.00911769296502702
"27","factor(genre1)/video",0.124363967193155,0.117029684277026,0.0114355877711971,0.0122916854412811
"28","factor(genre1)/web",0.0848247494555501,0.0687367692793342,-0.0707680071067966,-0.0709868571054319
"29","factor(genre1)/wirtschaft",0.0375822289944838,0.0414940886627943,-0.0060311745443669,-0.00594196681708445
"30","factor(genre1)/wissenschaft",0.0534802309200391,0.0491402257719223,-0.0983371314939431,-0.0988581576238647
"31","is_leaf_commentTRUE",NA,NA,-1.03332068938483,-1.03380582499981
"32","size_of_tree",NA,NA,0.413457297440282,0.414038760522966
"33","height_of_tree",NA,NA,-0.101664589952707,-0.101287913392246
"34","all_replies",NA,NA,0.102694568743434,0.102345699893919
"35","pinned_fTRUE",NA,1.73054113676265,0.815064959571512,0.831524824957717
"36","votes_pos_log",NA,NA,NA,-0.00788474542564759
