"","name","pf1","pf2","pf3","pf4"
"1","(Intercept)",1.09754530411338,1.10362352451326,1.27950603427253,1.27290039129519
"2","sentiment_prob_pos",-0.0213239843753308,-0.0277086851349434,-0.0193515479613154,-0.0190435663186542
"3","sentiment_prob_neg",-0.0100792531695103,-0.00956104360371859,-0.00756108563849876,-0.00857967162907206
"4","lexdiv_cttr",0.159955150887822,0.13397739245758,0.104126841252676,0.102725896405089
"5","num_punct",-0.0478171957039311,-0.044138247618056,-0.0462742871448935,-0.0446961775908422
"6","num_sentences",0.02827690855995,0.0226708728804698,0.0125328854563906,0.0117987257314163
"7","SMOG_readability",0.0532989017852915,0.0492598684956311,0.0386009833791764,0.0379134264107272
"8","second_personTRUE",0.070479362068933,0.0732421052912614,0.0377806171615382,0.035446957226698
"9","user_follower",0.0837346157714939,0.0781739928858714,0.0768165223530835,0.0776797305482088
"10","is_root_commentTRUE",0.116122598618689,-0.0108483505490246,0.0190250029859923,0.0198048198904585
"11","level_in_tree",-0.69080746238449,-0.697921798008708,-0.8353933801768,-0.827068101780591
"12","cosine_1",-0.00390601024650661,-0.000857430588342551,0.00456715336350659,0.00555816853375709
"13","hours_since_article",-0.244700512106014,-0.201853089404016,-0.184101942575871,-0.183332968102465
"14","votes_pos_mean",0.355643216015428,0.350155719828785,0.376508430408478,0.381804048018292
"15","votes_neg_mean",0.0756336306122824,0.0832846237195712,0.0490347084315904,0.0362361586179284
"16","article_comments",0.0409906201046398,0.0167484633916226,-0.0160138804735175,-0.0160215915594354
"17","factor(genre1)/diestandard",0.222034388749091,0.214141237469844,0.156597532565955,0.156039715170769
"18","factor(genre1)/diskurs",0.291635725431505,0.273135214786623,0.25145051095214,0.251609194133143
"19","factor(genre1)/etat",-0.0212535934426778,-0.0254838766999753,-0.0299369259096147,-0.0284188309962215
"20","factor(genre1)/international",0.0795113961276507,0.0800275062098775,0.0359266843031874,0.0382305116702915
"21","factor(genre1)/kultur",0.117579405868499,0.114961238480284,0.10184819609229,0.101191763001943
"22","factor(genre1)/lifestyle",0.270350723694344,0.258865576169353,0.204623248137918,0.206150415533118
"23","factor(genre1)/panorama",0.183364722840817,0.180500886309469,0.123052097215126,0.123568002806447
"24","factor(genre1)/podcast",0.0544292016807803,0.0685951745718601,0.0422270270941966,0.0389509432890537
"25","factor(genre1)/recht",0.242385618471497,0.22261665268499,0.159039809477972,0.160880113613981
"26","factor(genre1)/sport",0.175212552623655,0.163648598472508,0.122164986161887,0.127293792226909
"27","factor(genre1)/video",0.219797436209622,0.199858846075918,0.152060375522277,0.15171128635448
"28","factor(genre1)/web",0.144954020518711,0.116465255832953,0.0675698301837533,0.0715347930092078
"29","factor(genre1)/wirtschaft",0.0269997978125563,0.0341815464695766,0.00731648848718774,0.00857487832845626
"30","factor(genre1)/wissenschaft",0.191540586290447,0.161837599179795,0.109552694212491,0.114003975054349
"31","is_leaf_commentTRUE",NA,NA,-0.320134033959884,-0.311354934601431
"32","size_of_tree",NA,NA,0.267920479392473,0.262906850302829
"33","height_of_tree",NA,NA,-0.0422016412624721,-0.0405241470232192
"34","all_replies",NA,NA,-0.0181610323043398,-0.024965536479
"35","pinned_fTRUE",NA,2.33888544252536,1.98740091872092,1.94226939525833
"36","votes_neg_log",NA,NA,NA,0.0422898495029443
